SpGnss : begin inSpGnss : begin outSpGnss : start in  mode = COLD_STARTSpGnss : start outGnss setup OK
1980/01/06 00:01:04.000612, numSat: 3, No-Fix, No Position
1980/01/06 00:01:05.000606, numSat: 4, No-Fix, No Position
1980/01/06 00:01:06.000629, numSat: 4, No-Fix, No Position
1980/01/06 00:01:07.000622, numSat: 3, No-Fix, No Position
1980/01/06 00:01:08.000616, numSat: 3, No-Fix, No Position
1980/01/06 00:01:09.000609, numSat: 3, No-Fix, No Position
1980/01/06 00:01:10.000603, numSat: 5, No-Fix, No Position
1980/01/06 00:01:11.000626, numSat: 5, No-Fix, No Position
1980/01/06 00:01:12.000619, numSat: 3, No-Fix, No Position
1980/01/06 00:01:13.000612, numSat: 3, No-Fix, No Position
1980/01/06 00:01:14.000605, numSat: 5, No-Fix, No Position
1980/01/06 00:01:15.000629, numSat: 5, No-Fix, No Position
1980/01/06 00:01:16.000618, numSat: 3, No-Fix, No Position
1980/01/06 00:01:17.000618, numSat: 3, No-Fix, No Position
1980/01/06 00:01:18.000610, numSat: 3, No-Fix, No Position
1980/01/06 00:01:19.000603, numSat: 3, No-Fix, No Position
1980/01/06 00:01:20.000629, numSat: 3, No-Fix, No Position
1980/01/06 00:01:21.000621, numSat: 3, No-Fix, No Position
1980/01/06 00:01:22.000615, numSat: 3, No-Fix, No Position
1980/01/06 00:01:23.000610, numSat: 3, No-Fix, No Position
numSatellites: 3[ 0] Type:GPS, Id: 8, Elv: 0, Azm:  0, CN0:35.759998
[ 1] Type:GPS, Id:16, Elv: 0, Azm:  0, CN0:32.230000
[ 2] Type:GPS, Id:27, Elv: 0, Azm:  0, CN0:32.779999
2022/02/28 04:41:26.000668, numSat: 3, No-Fix, No Position
2022/02/28 04:41:27.000661, numSat: 3, No-Fix, No Position
2022/02/28 04:41:28.000659, numSat: 3, No-Fix, No Position
2022/02/28 04:41:29.000653, numSat: 3, No-Fix, No Position
2022/02/28 04:41:30.000647, numSat: 3, No-Fix, No Position
2022/02/28 04:41:31.000669, numSat: 3, No-Fix, No Position
numSatellites: 2[ 0] Type:GPS, Id:16, Elv: 0, Azm:  0, CN0:16.340000
[ 1] Type:GPS, Id:27, Elv: 0, Azm:  0, CN0:27.529999
2022/02/28 04:52:00.000664, numSat: 2, No-Fix, No Position
2022/02/28 04:52:01.000658, numSat: 2, No-Fix, No Position
2022/02/28 04:52:02.000652, numSat: 2, No-Fix, No Position
2022/02/28 04:52:03.000645, numSat: 2, No-Fix, No Position
2022/02/28 04:52:04.000669, numSat: 2, No-Fix, No Position
2022/02/28 04:52:05.000663, numSat: 2, No-Fix, No Position
2022/02/28 04:52:06.000656, numSat: 3, No-Fix, No Position
2022/02/28 04:52:07.000650, numSat: 3, No-Fix, No Position
